"Timestamp","Введите название гриба","Фотография гриба","Введите зону растительности:","Предложите ссылку, или координаты.","Красная книга","Съедобен ли гриб?","Описание","Семейство"
"2022/11/11 4:29:27 PM GMT+3","Вид: Amanita excelsa (Мухомор толстый (мухомор коренастый)","https://drive.google.com/u/0/open?usp=forms_web&id=1aeBg8vfYxETZ6My77yW1tKdQIYdp4vnX","зона смешанных и широколиственных лесов;лесостепная зона","https://goo.gl/maps/5Ku1jWMwuT3Rsk3n9","Нет","50/50","Гриб в высоту примерно 8 см, в ширину 5 см имеет не большую шапочку. ","• Аманитовые (Amanitaceae) или Мухоморовые"
"2022/11/21 11:35:38 PM GMT+3","Лисичка обыкновенная","https://drive.google.com/u/0/open?usp=forms_web&id=1nY0Im71bS9CMW27wOMl-FNIo6hlK0vn6","зона смешанных и широколиственных лесов","https://goo.gl/maps/aZTMpxXpiAy7Yb4WA","Нет","Да","","• Кантарелловые (Cantharellaceae) или Лисичковые"
"2022/12/09 9:55:46 PM GMT+3","Белый гриб","https://drive.google.com/u/0/open?usp=forms_web&id=1HjVk-FhC8cAhy5FB6AbdItRQ1YGndsbs","зона смешанных и широколиственных лесов","https://urochishe.ru/gde-rastut-belyie-gribyi/?ysclid=lbgvbgneqb800610208","Да","Да","Белый гриб (также сокращённо: белый), или боровик (лат. Bolétus edúlis), — гриб из рода Боровик. Название отражает свойство мякоти не изменять цвет на срезе. Встречается повсеместно, широко распространён; отличается разнообразием форм и окрасок.","• Болетовые (Boletaceae) или Боровиковые"
"2022/12/10 5:18:52 PM GMT+3","Груздь настоящий","https://drive.google.com/u/0/open?usp=forms_web&id=14vgsNgjhLaoPCjP8pnvJf-ZTJ7a3BErX","зона смешанных и широколиственных лесов","https://upload.wikimedia.org/wikipedia/commons/7/74/Lactarius_resimus1.jpg","Нет","Да","Груздь настоящий съедобный гриб рода Млечник семейсвта Сыроежковые.","• Руссуловые (Russulaceae) или Сыроежковые"
"2022/12/10 7:08:01 PM GMT+3","Boletus badius (Польский гриб)","https://drive.google.com/u/0/open?usp=forms_web&id=1QfWQsB_lfPtESL-Jphp5Gh6PXevyJvJg","зона тундр;лесотундра;зона смешанных и широколиственных лесов","https://goo.gl/maps/dEu7RYDzZ5cDFu1o9","Нет","Да","Гриб в высоту размером от 3 до 12 см, толщина до 4 см, шляпка от 3 до 12 см.","• Болетовые (Boletaceae) или Боровиковые"
"2022/12/10 7:19:04 PM GMT+3","Agaricus arvensis (Шампиньон полевой)","https://drive.google.com/u/0/open?usp=forms_web&id=1WT2hziAa-vhd50DgbiyAfK2GinpSYpre","зона смешанных и широколиственных лесов;лесостепная зона;степная зона","https://goo.gl/maps/vUiZfLoocwtVzdS46","Нет","Да","Гриб в высоту до 10 см, шляпка в от 5 до 15 см.","• Агариковые (Agaricaceae) или Шампиньоновые"
"2022/12/10 7:36:39 PM GMT+3","Craterellus cornucopioides (Лисичка чёрная)","https://drive.google.com/u/0/open?usp=forms_web&id=1FqDUZgRMEwSY3H_qxRdXz5BunhZuL0P0","зона смешанных и широколиственных лесов","https://goo.gl/maps/kQNFzuuX2ZUC6SDB8","Нет","Да","Ножка тонкая(до 1 см), до 10 см, шляпка до 5 см, обычно располагается кучно.","• Кантарелловые (Cantharellaceae) или Лисичковые"
"2022/12/10 7:49:23 PM GMT+3","Leucocybe candicans (Говорушка белёсая)","https://drive.google.com/u/0/open?usp=forms_web&id=11QNyM_yHiVl8Eo0cw634FGE9VdkMti-k","зона смешанных и широколиственных лесов","https://goo.gl/maps/i5TgskW52xnjd7uJA","Нет","Нет","Размер ножки 4 см, поверхность волокнистая, шляпка 4 см. Период роста - начало-середина осени.","• Трихоломовые (Tricholomataceae) или Рядовковые"
"2022/12/10 7:57:41 PM GMT+3","Inocybe lacera (Волоконница разорванная)","https://drive.google.com/u/0/open?usp=forms_web&id=157Jm3kCBky5kDQk1311WDjAjlVDv_ugm","зона смешанных и широколиственных лесов","https://goo.gl/maps/zsqGBqiGKhiNAHpt8","Нет","Нет","Ножка имеет длину до 5 см и диаметр 0,3-0,6 см, на поверхности проглядываются красновато-бурые чешуйки, небольшая шляпка 3-5 см.","• Иноцибиевые (Inocybaceae) или Волоконницевые"
"2022/12/10 8:07:27 PM GMT+3","Hypholoma polytrichi (Ложноопёнок моховой)","https://drive.google.com/u/0/open?usp=forms_web&id=1lK_4F00CAHGkzsPVLDC0ymTY8sYr2iqi","зона смешанных и широколиственных лесов","https://goo.gl/maps/jPbNNq6uPbmEer5t8","Нет","Нет","Ножка тонкая(2-4 мм) и длинная (6-12 см), коричневато-жёлтая, шляпка до 3,5 см, при высокой влажности поверхность становится слизистой.","• Строфариевые (Strophariaceae)"
"2022/12/10 10:14:11 PM GMT+3","Грифола курчавая","https://drive.google.com/u/0/open?usp=forms_web&id=1LyDhSpxQ4WMJ7G-WLyhOr-6DrYYb3wbV","зона смешанных и широколиственных лесов","https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B8%D1%84%D0%BE%D0%BB%D0%B0_%D0%BA%D1%83%D1%80%D1%87%D0%B0%D0%B2%D0%B0%D1%8F","Да","Да","Гри́фола курча́вая (лат. Grifola frondosa), гриб-баран, мейтаке, маитаке, танцующий гриб[источник не указан 1788 дней] — съедобный гриб, вид рода Грифола (Grifola) семейства Фомитопсисовые (Fomitopsidaceae).","• Фомитопсисовые (Fomitopsidaceae)"